Voltage A RMS,"Average Voltage A RMS, frequency"
3.480181,3.494389860215054,60.050803
3.468741,3.494117,60.050803
3.478128,3.493948694736842,60.050803
3.471257,3.4937123229166667,60.050803
3.47584,3.4935280721649487,60.050803
3.484415,3.493435081632653,60.106509
3.483272,3.493332424242424,59.9952
3.472904,3.49312814,59.9952
3.462451,3.492824405940594,60.050803
3.460346,3.4925059901960784,60.050803
3.488441,3.492466524271845,60.050803
3.498865,3.492528048076923,60.050803
3.461551,3.4922330285714285,60.050803
3.460014,3.491929075471698,60.050803
3.468377,3.4917089626168227,60.050803
3.467744,3.4914870648148146,60.050803
3.482158,3.4914014770642203,60.050803
3.46113,3.4911262818181816,60.050803
3.473118,3.490964045045045,60.050803
3.458755,3.490676464285714,60.050803
3.476662,3.490552442477876,60.050803
3.462373,3.4903052543859645,60.050803
3.466267,3.4900962260869566,60.050803
3.484132,3.4900448103448274,60.050803
3.455743,3.4897516324786326,60.050803
3.457242,3.489476127118644,60.050803
3.477961,3.489379361344538,60.050803
3.470891,3.4892252916666666,60.050803
3.46082,3.4889905371900825,60.050803
3.45715,3.4887295491803276,60.050803
3.474519,3.488614016260162,60.050803
3.47668,3.4885177741935487,60.050803
3.466428,3.4883410560000003,60.050803
3.477393,3.4882541666666667,60.050803
3.467981,3.4880945354330706,60.050803
3.459923,3.4878744453125,60.050803
3.462979,3.4876814573643413,60.050803
3.461018,3.4874763538461537,60.050803
3.462082,3.4872825038167936,60.106509
3.451739,3.487013234848485,60.050803
3.465915,3.4868546015037594,60.050803
3.476938,3.4867805970149255,60.050803
3.483704,3.4867578074074075,60.050803
3.471258,3.486643838235294,60.050803
3.461169,3.4864578905109487,60.106509
3.443476,3.486146427536232,60.050803
3.468421,3.48601890647482,60.050803
3.45092,3.4857682,60.050803
3.456893,3.485563411347518,60.050803
3.468834,3.485445598591549,60.050803
3.451361,3.485207244755245,60.050803
3.43633,3.4848678194444442,60.050803
3.460678,3.4847009931034485,60.050803
3.453712,3.4844887397260274,60.050803
3.476184,3.484432244897959,60.050803
3.469604,3.4843320540540543,60.050803
3.451231,3.484109899328859,60.050803
3.462539,3.4839660933333336,60.050803
3.466895,3.4838530397350995,60.050803
3.450479,3.4836334736842107,60.050803
3.447464,3.483397071895425,60.050803
3.456236,3.483220701298701,60.050803
3.449244,3.4830014967741936,60.050803
3.449215,3.4827849166666667,60.106509
3.442718,3.482529713375796,60.106509
3.445689,3.4822965443037974,59.9952
3.434338,3.481994918238994,60.050803
3.44698,3.481776075,60.050803
3.448645,3.481570291925466,60.050803
3.459443,3.4814337037037038,60.106509
3.457454,3.481286588957055,60.106509
3.443616,3.4810568902439023,60.106509
3.441838,3.4808191999999996,59.9952
3.442331,3.4805873433734944,59.9952
3.455442,3.4804367724550898,59.9952
3.45411,3.4802800654761903,60.050803
3.454186,3.480125662721894,60.050803
3.452961,3.4799658705882353,60.050803
3.444045,3.479755807017544,59.9952
3.443099,3.479542686046512,59.9952
3.443664,3.4793352947976883,60.050803
3.446407,3.4791460517241375,60.050803
3.447164,3.4789632971428572,60.050803
3.462235,3.4788682499999997,60.050803
3.437034,3.478631898305085,59.9952
3.44053,3.4784178426966292,59.9952
3.457702,3.4783021117318436,60.050803
3.444695,3.4781154055555557,60.050803
3.461766,3.4780250773480668,60.050803
3.463598,3.4779458076923078,60.050803
3.458062,3.477837153005465,60.050803
3.471306,3.477801657608696,60.050803
3.447148,3.477635962162162,60.050803
3.447395,3.4774733763440864,59.9952
3.454879,3.4773525508021392,59.9952
3.457466,3.477246771276596,60.050803
3.452663,3.4771166984126984,60.050803
3.451346,3.476981063157895,60.050803
3.448196,3.4768303560209426,59.9952
3.450531,3.4766933802083333,59.9952
3.449341,3.476551658031088,59.9952
3.459665,3.4764646134020616,59.9952
3.455934,3.4763593282051284,60.106509
3.46088,3.4762803520408165,60.106509
3.463878,3.4762173959390865,60.106509
3.459527,3.476133101010101,60.050803
3.459268,3.4760483517587937,60.050803
3.466238,3.4759993,60.050803
3.470396,3.4759714228855723,60.050803
3.454156,3.4758634257425745,60.050803
3.457899,3.4757749310344828,60.050803
3.468162,3.4757376127450983,60.050803
3.449327,3.4756087804878053,60.050803
3.474489,3.475603344660194,60.050803
3.465044,3.4755523333333334,60.106509
3.46918,3.4755216971153846,60.106509
3.469786,3.4754942535885167,60.050803
3.448147,3.4753640285714287,60.050803
3.458377,3.475283521327014,60.050803
3.486937,3.4753384905660374,60.050803
3.466857,3.4752986713615024,60.050803
3.464419,3.4752478317757007,60.050803
3.468491,3.4752164046511624,60.050803
3.472594,3.475204263888889,60.050803
3.468725,3.475174405529954,60.050803
3.466995,3.475136885321101,60.050803
3.474399,3.4751335159817356,60.050803
3.465168,3.4750882181818183,60.050803
3.45725,3.475007502262444,60.050803
3.459225,3.47493640990991,60.050803
3.4602,3.47487032735426,60.050803
3.482852,3.4749059598214282,60.106509
3.470544,3.4748865733333334,59.9952
3.462157,3.4748302477876107,59.9952
3.473898,3.4748261409691628,60.050803
3.468889,3.474800100877193,59.9952
3.476259,3.4748064716157203,59.9952
3.489727,3.4748713434782608,60.050803
3.461397,3.4748130129870134,60.050803
3.469849,3.4747916163793104,60.050803
3.462719,3.4747398025751073,60.050803
3.480345,3.4747637564102565,59.9952
