Voltage A RMS,Average Voltage A RMS,Frequency,Average Frequency
214.21,209.49333333333334,59.9952,59.968173333333326
210.87,209.5232608695652,59.9628,59.96805652173913
209.27,209.51787234042553,60.0276,59.96932340425532
204.76,209.41875000000002,59.9952,59.9698625
209.08,209.41183673469388,59.9592,59.969644897959185
209.76,209.4188,60.0312,59.970876
208.24,209.3956862745098,59.9952,59.97135294117646
212.68,209.45884615384617,59.9592,59.97111923076923
203.63,209.3488679245283,60.0312,59.97225283018868
207.43,209.31333333333333,59.9844,59.97247777777778
208.79,209.30381818181817,59.97,59.972432727272725
211.71,209.34678571428572,60.0312,59.973482142857144
209.9,209.35649122807018,59.9952,59.97386315789474
205.73,209.29396551724136,59.9592,59.973610344827584
211.37,209.3291525423729,60.0312,59.97458644067796
213.24,209.39433333333332,59.9736,59.97457
207.02,209.35540983606558,59.9772,59.9746131147541
210.1,209.36741935483872,60.0348,59.97558387096774
209.47,209.36904761904762,59.988,59.97578095238095
207.03,209.3325,59.9664,59.975634375
214.02,209.40461538461537,60.0312,59.976489230769225
209.13,209.40045454545455,59.9916,59.976718181818185
211.83,209.43671641791045,59.9628,59.97651044776119
212.51,209.4819117647059,60.0312,59.97731470588235
211.08,209.50507246376813,59.9952,59.97757391304347
202.97,209.41171428571428,58.3669,59.95456428571428
208.2,209.39464788732394,61.717,59.97938732394366
210.46,209.40944444444443,58.3363,59.95656666666667
205.79,209.35986301369863,61.7132,59.980630136986306
206.85,209.32594594594596,60.0312,59.98131351351351
208.83,209.31933333333333,59.9952,59.98149866666667
206.5,209.28223684210528,59.9592,59.9812052631579
209.86,209.28974025974026,60.0312,59.98185454545454
209.91,209.2976923076923,59.9952,59.98202564102564
209.34,209.29822784810128,58.3669,59.96158101265823
211.85,209.330125,61.717,59.983523749999996
209.61,209.33358024691358,58.3397,59.96322962962963
207.57,209.3120731707317,60.0312,59.96405853658537
208.19,209.29855421686744,59.9952,59.96443373493975
206.38,209.26380952380953,61.7094,59.98520714285715
207.82,209.24682352941176,58.3737,59.96624823529411
204.83,209.19546511627908,59.9952,59.96658488372093
208.22,209.1842528735632,61.6827,59.98631034482759
209.22,209.1846590909091,58.3976,59.968256818181814
214.1,209.2398876404494,61.7094,59.9878202247191
211.99,209.27044444444445,58.3397,59.96950777777777
209.08,209.26835164835163,60.0312,59.97018571428571
216.11,209.34271739130435,59.9952,59.970457608695654
211.15,209.36215053763442,61.7055,59.98911397849463
212.63,209.39691489361704,58.3771,59.97196489361702
207.6,209.378,59.9952,59.97220947368422
207.38,209.3571875,59.9592,59.97207395833333
209.61,209.359793814433,60.0168,59.972535051546394
207.01,209.33581632653062,60.0096,59.972913265306126
207.16,209.31383838383837,59.9592,59.972774747474745
210.45,209.3252,60.0312,59.973359
209.08,209.3227722772277,59.9952,59.97357524752476
209.58,209.32529411764708,59.9592,59.973434313725484
208.11,209.31349514563107,60.0096,59.9737854368932
208.71,209.30769230769232,60.0168,59.97419903846154
205.79,209.27419047619048,59.9592,59.97405619047619
209.79,209.2790566037736,60.0204,59.974493396226414
210.02,209.2859813084112,60.006,59.974787850467294
211.04,209.3022222222222,59.9592,59.97464351851851
215.21,209.3564220183486,60.0276,59.97512935779817
204.13,209.30890909090908,59.9988,59.97534454545455
208.36,209.30036036036037,59.9592,59.97519909909909
212.82,209.3317857142857,60.0276,59.975666964285715
210.15,209.33902654867256,59.9988,59.97587168141593
213.05,209.37157894736842,59.9592,59.975725438596484
210.57,209.382,60.0312,59.976207826086956
207.38,209.36474137931035,59.9952,59.97637155172414
210.6,209.37529914529915,58.3601,59.96255726495727
210.46,209.38449152542373,61.7246,59.977489830508475
206.47,209.36,59.9952,59.97763865546219
211.94,209.3815,58.3703,59.96424416666666
208.76,209.37636363636364,59.9628,59.96423223140496
209.21,209.375,60.0312,59.96478114754098
