Voltage A RMS,Average Voltage A RMS
205.770737,205.95036850333332
205.881638,205.91952149
206.59169,205.89100612
206.875427,205.86724549000002
206.967758,205.84626679000002
206.053986,205.82433950333333
206.267593,205.80211909333335
206.488647,205.78183614333332
206.90004,205.76210292000002
206.994949,205.74198929333335
207.49791,205.72421646666666
206.702927,205.70334458
206.958115,205.68319947
206.754868,205.66171591
206.734665,205.63963634
208.024216,205.62518555666668
207.719238,205.60922466
208.389343,205.593894
208.18454,205.57961299333334
207.706192,205.56427170666666
208.2323,205.55055975333335
207.716675,205.53145615666665
207.893372,205.50832988666667
209.347137,205.48848710000001
209.174271,205.47965770333334
209.452438,205.47120453666668
209.686569,205.46341467000002
213.038284,205.46448451333333
210.385086,205.45493169666665
210.659546,205.44915258333333
210.518021,205.44455429666667
211.038528,205.44286474
207.606171,205.42706808
208.823898,205.4186171
208.870926,205.40372147
211.076828,205.40207906333333
211.239731,205.39805954333335
209.791107,205.39375325666668
209.237457,205.38658961000002
211.040131,205.38140142
209.202972,205.37574498666666
209.568451,205.36800298333333
209.532257,205.36082153666666
211.189102,205.36033386666668
210.108719,205.35791748666668
209.888306,205.35398865333335
210.280258,205.35391531000002
210.860641,205.35920665
211.214783,205.36351679999999
212.390213,205.3719261233333
212.045105,205.37924083000001
213.589371,205.39179428666668
211.861923,205.40173976
211.012009,205.40855438666665
213.041687,205.42208964333332
214.581909,205.44241648666667
214.05899,205.46213664
214.192749,205.47977519
215.31926,205.50386037666667
215.067719,205.51742213666668
210.990311,205.52833832666667
212.257782,205.54481156333333
212.115509,205.56113038
212.157257,205.57899974333333
211.435242,205.59584626
211.089127,205.60620362333333
211.519455,205.62072948333335
213.226639,205.63855902333333
213.16069,205.65766867333335
211.659882,205.67352199666666
211.027374,205.69083919666667
212.155502,205.70727062333333
211.987259,205.72383744666666
214.949326,205.75234234
214.302933,205.77833650333335
214.3396,205.80825192
215.18634,205.84141349
213.898499,205.87455049666667
215.714371,205.90980018333332
213.544357,205.93468045333333
213.766251,205.96083885
212.414444,205.98621142000002
